Date	Open	High	Low	Close	Volume
20200203	32.650002	32.919998	32.224998	32.419998	31.848614
20200204	32.900002	33.209999	32.610001	32.650002	32.074562
20200205	33.070000	33.529999	32.980000	33.430000	32.840816
20200206	33.380001	33.660000	33.080002	33.189999	32.821033
20200207	32.980000	33.259998	32.755001	33.189999	32.821033
20200210	33.049999	33.340000	33.049999	33.270000	32.900146
20200211	33.430000	33.564999	33.279999	33.330002	32.959480
20200212	33.520000	33.919998	33.320000	33.580002	33.206703
20200213	33.480000	33.880001	33.450001	33.820000	33.444031
20200214	33.849998	33.990002	33.570000	33.750000	33.374809
20200218	33.599998	33.950001	33.180000	33.270000	32.900146
20200219	33.320000	33.459999	33.005001	33.369999	32.999035
20200220	33.240002	33.884998	33.200001	33.639999	33.266033
20200221	33.509998	33.564999	33.029999	33.330002	32.959480
20200224	32.180000	32.570000	32.119999	32.250000	31.891485
20200225	32.209999	32.250000	30.590000	30.760000	30.418049
20200226	31.000000	31.410000	30.590000	30.590000	30.249939
20200227	29.860001	30.790001	29.389999	29.680000	29.350056
20200228	28.680000	29.190001	28.070000	29.100000	28.776503
20200302	29.280001	30.400000	29.150000	30.389999	30.052162
20200303	30.219999	30.670000	28.709999	28.870001	28.549061
20200304	29.370001	30.280001	29.090000	30.139999	29.804941
20200305	29.040001	29.870001	28.980000	29.260000	28.934725
20200306	28.100000	28.870001	27.754999	28.250000	27.935951
20200309	26.090000	26.280001	24.690001	25.020000	24.741859
20200310	26.129999	26.420000	24.580000	26.270000	25.977964
20200311	25.500000	25.850000	24.190001	24.490000	24.217751
20200312	22.559999	23.980000	21.650000	21.670000	21.429100
20200313	23.410000	24.160000	22.219999	24.129999	23.861752
20200316	19.500000	20.010000	17.750000	17.850000	17.651567
20200317	18.420000	18.860001	16.100000	17.459999	17.265902
20200318	16.150000	16.590000	12.150000	13.930000	13.775144
20200319	13.630000	15.380000	12.310000	14.600000	14.437696
20200320	14.970000	15.200000	13.260000	13.410000	13.260924
20200323	13.280000	13.440000	12.250000	12.800000	12.657706
20200324	13.880000	15.250000	13.680000	14.740000	14.576139
20200325	15.790000	17.315001	15.110000	16.660000	16.474794
20200326	17.150000	19.860001	17.000000	19.030001	18.818449
20200327	17.920000	18.180000	16.850000	17.100000	16.909904
20200330	16.940001	17.000000	16.059999	16.770000	16.583572
20200331	16.680000	16.840000	15.960000	16.090000	15.911132
20200401	14.970000	15.200000	13.960000	14.510000	14.348697
20200402	14.330000	15.130000	13.710000	14.310000	14.150920
20200403	14.040000	14.260000	12.980000	13.250000	13.102703
20200406	14.320000	15.670000	14.170000	15.490000	15.317801
20200407	17.000000	18.190001	15.960000	16.120001	15.940799
20200408	16.559999	17.030001	16.105000	16.820000	16.633017
20200409	17.840000	18.920000	17.340000	17.620001	17.424124
20200413	17.820000	18.020000	16.135000	16.219999	16.039686
20200414	16.459999	16.980000	15.600000	15.900000	15.723244
20200415	14.940000	15.290000	14.560000	14.950000	14.783805
20200416	14.850000	15.000000	14.020000	14.170000	14.012476
20200417	15.130000	15.700000	14.990000	15.620000	15.446357
20200420	15.140000	15.985000	14.780000	15.590000	15.416690
20200421	15.000000	15.985000	14.510000	15.170000	15.001359
20200422	15.630000	16.170000	15.250000	16.049999	15.871575
20200423	16.059999	16.680000	16.040001	16.100000	15.921021
20200424	16.250000	17.014999	16.190001	16.969999	16.781347
20200427	17.170000	17.780001	17.070000	17.620001	17.424124
20200428	18.650000	19.230000	18.389999	18.740000	18.531672
20200429	19.980000	21.379999	19.860001	21.049999	20.815992
20200430	20.379999	20.910000	19.420000	19.790001	19.570000
20200501	18.650000	18.760000	18.049999	18.510000	18.510000
20200504	17.950001	18.559999	17.570000	18.430000	18.430000
20200505	18.900000	19.350000	17.950001	18.000000	18.000000
20200506	18.200001	18.420000	17.260000	17.299999	17.299999
20200507	17.580000	18.360001	17.549999	18.350000	18.350000
