Date	Open	High	Low	Close	Volume
20200203	37.959999	37.970001	36.799999	36.959999	36.321064
20200204	37.080002	37.740002	36.939999	37.630001	36.979481
20200205	37.730000	37.950001	37.520000	37.810001	37.156372
20200206	37.860001	38.480000	37.860001	38.439999	37.775478
20200207	38.450001	38.720001	38.360001	38.450001	37.785305
20200210	38.419998	38.540001	38.099998	38.340000	37.677208
20200211	38.490002	38.820000	37.900002	38.169998	37.510143
20200212	38.189999	38.330002	38.020000	38.040001	37.382393
20200213	37.880001	38.430000	37.849998	38.310001	37.647728
20200214	38.279999	38.470001	38.110001	38.250000	37.588764
20200218	38.180000	38.320000	38.040001	38.259998	37.598587
20200219	38.240002	38.650002	38.160000	38.439999	37.775478
20200220	38.400002	38.669998	38.310001	38.610001	37.942539
20200221	38.520000	38.680000	38.369999	38.549999	37.883575
20200224	37.990002	38.509998	37.980000	38.049999	37.392220
20200225	38.110001	38.279999	37.259998	37.349998	36.704319
20200226	37.189999	37.779999	36.919998	37.099998	36.458641
20200227	36.580002	36.910000	35.360001	35.730000	35.112328
20200228	34.000000	35.720001	33.009998	35.220001	34.611145
20200302	35.369999	37.419998	35.290001	37.180000	36.537262
20200303	37.259998	37.959999	35.869999	36.299999	35.672470
20200304	37.020000	38.220001	36.720001	38.180000	37.519974
20200305	37.400002	37.919998	36.970001	37.180000	36.537262
20200306	36.709999	37.250000	36.180000	37.029999	36.389851
20200309	35.009998	36.150002	34.380001	34.689999	34.090305
20200310	35.509998	35.889999	34.240002	35.849998	35.230251
20200311	34.849998	35.070000	34.160000	34.520000	33.923244
20200312	31.860001	33.430000	31.059999	31.330000	30.788391
20200313	32.919998	34.610001	31.860001	34.470001	33.874111
20200316	31.000000	33.889999	30.920000	31.809999	31.260092
20200317	32.119999	34.060001	32.009998	33.740002	33.156731
20200318	32.000000	32.910000	30.250000	32.849998	32.282112
20200319	31.360001	32.490002	30.500000	31.150000	30.611502
20200320	30.459999	30.500000	28.180000	28.450001	27.958178
20200323	27.389999	27.709999	26.080000	26.770000	26.307220
20200324	28.000000	28.299999	26.840000	28.090000	27.604401
20200325	28.080000	29.930000	27.370001	28.400000	27.909042
20200326	28.680000	30.959999	28.680000	30.600000	30.071011
20200327	29.690001	30.820000	29.219999	29.840000	29.324148
20200330	29.900000	30.410000	29.480000	30.230000	29.707405
20200331	30.040001	30.129999	29.049999	29.150000	28.646076
20200401	28.379999	28.580000	27.700001	28.049999	27.565092
20200402	28.000000	28.870001	28.000000	28.760000	28.262819
20200403	28.530001	28.740000	27.250000	27.459999	26.985291
20200406	28.400000	29.680000	28.309999	29.440001	28.931065
20200407	30.440001	30.969999	30.070000	30.080000	29.559999
20200408	29.950001	30.000000	29.100000	29.889999	29.889999
20200409	30.000000	30.940001	29.990000	30.730000	30.730000
20200413	30.500000	30.719999	29.900000	30.190001	30.190001
20200414	30.690001	31.160000	30.350000	31.129999	31.129999
20200415	30.629999	30.959999	29.959999	30.090000	30.090000
20200416	30.280001	30.280001	29.709999	30.160000	30.160000
20200417	30.850000	31.250000	30.700001	31.230000	31.230000
20200420	30.850000	31.420000	30.700001	30.980000	30.980000
20200421	30.510000	30.520000	29.639999	29.870001	29.870001
20200422	30.900000	30.900000	29.309999	29.469999	29.469999
20200423	29.440001	30.049999	29.330000	29.500000	29.500000
20200424	29.590000	29.950001	29.150000	29.709999	29.709999
20200427	29.990000	30.680000	29.740000	30.540001	30.540001
20200428	31.000000	31.120001	30.620001	30.650000	30.650000
20200429	31.129999	31.870001	31.070000	31.430000	31.430000
20200430	31.000000	31.049999	30.280001	30.469999	30.469999
20200501	30.770000	30.790001	29.750000	29.900000	29.900000
20200504	29.750000	29.750000	29.219999	29.600000	29.600000
20200505	29.740000	30.180000	29.719999	29.740000	29.740000
20200506	29.820000	29.870001	28.790001	28.790001	28.790001
20200507	29.170000	29.200001	28.830000	29.089800	29.089800
