Date	Open	High	Low	Close	Volume
20200203	92.889999	94.209999	92.599998	94.000000	93.536949
20200204	95.709999	96.599998	94.580002	95.330002	94.860397
20200205	96.040001	97.019997	95.620003	96.959999	96.482368
20200206	97.089996	97.480003	94.550003	94.629997	94.163841
20200207	93.910004	93.910004	92.480003	93.220001	92.760788
20200210	92.660004	93.370003	91.959999	93.180000	92.720985
20200211	93.730003	95.110001	93.419998	93.449997	92.989655
20200212	94.389999	94.970001	93.690002	94.919998	94.452415
20200213	94.470001	94.989998	93.769997	94.540001	94.074287
20200214	94.559998	94.900002	92.750000	93.300003	92.840401
20200218	92.739998	92.870003	91.419998	91.980003	91.526901
20200219	92.470001	93.750000	92.089996	93.379997	92.919998
20200220	92.349998	93.559998	92.050003	92.919998	92.919998
20200221	92.040001	92.629997	90.900002	91.730003	91.730003
20200224	88.910004	89.180000	87.269997	88.089996	88.089996
20200225	89.000000	89.019997	86.019997	86.349998	86.349998
20200226	86.940002	88.730003	86.150002	86.160004	86.160004
20200227	84.190002	86.260002	83.120003	83.190002	83.190002
20200228	80.430000	83.080002	78.830002	82.870003	82.870003
20200302	83.620003	85.360001	81.550003	85.349998	85.349998
20200303	85.139999	86.480003	82.300003	83.000000	83.000000
20200304	84.089996	85.830002	83.010002	85.800003	85.800003
20200305	82.940002	83.400002	81.000000	81.370003	81.370003
20200306	77.650002	79.860001	77.230003	78.690002	78.690002
20200309	72.879997	75.699997	72.010002	74.139999	74.139999
20200310	76.779999	79.010002	75.089996	78.699997	78.699997
20200311	76.120003	76.400002	72.059998	72.989998	72.989998
20200312	67.690002	74.930000	65.099998	67.599998	67.599998
20200313	71.220001	72.650002	65.470001	70.209999	70.209999
20200316	56.169998	66.589996	56.130001	60.939999	60.939999
20200317	62.279999	65.910004	54.740002	63.060001	63.060001
20200318	58.290001	61.299999	49.970001	53.080002	53.080002
20200319	52.619999	56.360001	48.619999	54.599998	54.599998
20200320	55.810001	56.869999	52.310001	55.560001	55.560001
20200323	53.930000	56.349998	53.310001	54.669998	54.669998
20200324	57.599998	60.959999	57.020000	60.560001	60.560001
20200325	60.740002	67.389999	60.200001	63.490002	63.490002
20200326	63.639999	68.449997	63.029999	68.199997	68.199997
20200327	65.230003	66.330002	62.279999	62.779999	62.779999
20200330	62.639999	64.139999	61.840000	63.720001	63.720001
20200331	63.110001	64.269997	62.049999	62.980000	62.980000
20200401	60.310001	61.939999	58.709999	59.119999	59.119999
20200402	59.060001	61.020000	57.939999	58.990002	58.990002
20200403	59.119999	61.130001	57.529999	58.689999	58.689999
20200406	61.480000	66.150002	61.480000	65.620003	65.620003
20200407	68.330002	69.470001	64.870003	65.040001	65.040001
20200408	65.959999	69.919998	65.559998	69.059998	69.059998
20200409	69.599998	72.269997	69.269997	71.169998	71.169998
20200413	70.949997	71.190002	68.599998	69.120003	69.120003
20200414	70.440002	71.930000	69.730003	69.970001	69.970001
20200415	67.519997	68.459999	64.800003	65.410004	65.410004
20200416	65.879997	66.099998	62.880001	63.660000	63.660000
20200417	65.230003	68.180000	65.050003	67.440002	67.440002
20200420	66.040001	67.849998	64.790001	66.580002	66.580002
20200421	64.980003	66.309998	63.549999	64.550003	64.550003
20200422	66.529999	67.519997	65.760002	67.279999	67.279999
20200423	67.519997	69.099998	67.489998	68.150002	68.150002
20200424	68.760002	70.610001	68.489998	70.150002	70.150002
20200427	70.639999	73.790001	70.550003	73.470001	73.470001
20200428	78.540001	79.830002	73.199997	73.650002	73.650002
20200429	76.040001	78.519997	75.419998	78.379997	78.379997
20200430	77.010002	77.010002	73.400002	73.459999	73.459999
20200501	71.559998	71.690002	70.029999	70.580002	70.580002
20200504	70.070000	70.550003	68.480003	69.459999	69.459999
20200505	70.400002	71.940002	70.239998	70.820000	70.820000
20200506	71.059998	72.199997	69.809998	71.830002	71.830002
20200507	72.900002	74.519997	72.750000	74.445000	74.445000
