Date	Open	High	Low	Close	Volume
20200203	51.980000	52.939999	51.970001	52.500000	52.066036
20200204	53.400002	53.910000	53.090000	53.160000	52.720581
20200205	53.820000	54.680000	53.779999	54.430000	53.980083
20200206	54.650002	54.880001	53.799999	54.180000	53.732151
20200207	53.669998	54.400002	53.330002	54.270000	53.821407
20200210	53.840000	54.419998	53.840000	54.330002	53.880913
20200211	54.369999	55.119999	54.369999	54.810001	54.356945
20200212	55.189999	55.470001	54.209999	54.439999	53.989998
20200213	53.959999	54.910000	53.790001	54.820000	54.820000
20200214	54.799999	54.970001	54.389999	54.939999	54.939999
20200218	54.630001	54.799999	53.540001	54.009998	54.009998
20200219	54.259998	54.650002	54.049999	54.610001	54.610001
20200220	54.389999	55.439999	54.230000	55.310001	55.310001
20200221	54.830002	55.099998	54.240002	54.849998	54.849998
20200224	53.650002	54.340000	53.270000	53.770000	53.770000
20200225	53.750000	53.779999	51.150002	51.310001	51.310001
20200226	51.709999	52.209999	50.650002	50.700001	50.700001
20200227	49.790001	50.230000	47.540001	47.549999	47.549999
20200228	46.049999	46.910000	44.919998	46.139999	46.139999
20200302	48.099998	48.820000	45.610001	48.810001	48.810001
20200303	48.389999	49.400002	46.439999	46.889999	46.889999
20200304	47.240002	47.599998	45.860001	47.380001	47.380001
20200305	45.419998	45.509998	43.020000	43.610001	43.610001
20200306	41.490002	42.490002	39.549999	40.669998	40.669998
20200309	36.459999	37.950001	33.889999	34.509998	34.509998
20200310	36.230000	36.869999	33.930000	36.340000	36.340000
20200311	35.080002	35.490002	33.310001	33.660000	33.660000
20200312	30.320000	33.160000	28.940001	30.219999	30.219999
20200313	32.779999	34.139999	30.639999	33.830002	33.830002
20200316	28.469999	30.320000	24.010000	27.370001	27.370001
20200317	28.280001	29.740000	25.940001	29.270000	29.270000
20200318	27.230000	29.469999	26.040001	28.320000	28.320000
20200319	27.610001	32.000000	26.520000	29.969999	29.969999
20200320	30.309999	30.690001	28.000000	30.040001	30.040001
20200323	28.000000	29.129999	25.510000	25.690001	25.690001
20200324	26.930000	30.389999	26.230000	30.120001	30.120001
20200325	30.040001	32.000000	28.850000	30.670000	30.670000
20200326	30.830000	34.669998	30.540001	34.279999	34.279999
20200327	32.490002	34.759998	32.259998	33.270000	33.270000
20200330	33.160000	33.529999	31.680000	32.560001	32.560001
20200331	31.809999	32.430000	30.209999	30.840000	30.840000
20200401	28.600000	29.290001	28.090000	28.469999	28.469999
20200402	28.290001	29.610001	27.629999	28.480000	28.480000
20200403	28.240000	28.570000	26.410000	27.209999	27.209999
20200406	29.150000	30.389999	28.459999	29.770000	29.770000
20200407	31.920000	32.330002	30.420000	30.590000	30.590000
20200408	31.040001	32.939999	30.879999	32.700001	32.700001
20200409	33.720001	36.119999	33.549999	36.110001	36.110001
20200413	36.060001	36.139999	33.689999	33.939999	33.939999
20200414	34.730000	35.200001	32.790001	33.360001	33.360001
20200415	31.690001	32.119999	31.150000	31.309999	31.309999
20200416	31.520000	31.520000	29.240000	29.639999	29.639999
20200417	30.900000	33.500000	30.840000	33.400002	33.400002
20200420	33.500000	35.080002	32.770000	34.130001	34.130001
20200421	33.910000	34.570000	33.090000	34.029999	34.029999
20200422	34.560001	35.139999	34.139999	34.209999	34.209999
