Date	Open	High	Low	Close	Volume
20200203	134.139999	134.279999	134.059998	134.199997	133.500168
20200204	134.250000	134.309998	134.080002	134.080002	133.380798
20200205	134.199997	134.309998	134.070007	134.220001	133.520065
20200206	134.279999	134.289993	134.119995	134.119995	133.420578
20200207	134.149994	134.199997	134.070007	134.110001	133.410629
20200210	134.100006	134.259995	134.059998	134.210007	133.510117
20200211	134.199997	134.339996	134.179993	134.270004	133.569809
20200212	134.259995	134.389999	134.229996	134.309998	133.609589
20200213	134.270004	134.380005	134.270004	134.360001	133.659332
20200214	134.300003	134.419998	134.210007	134.270004	133.569809
20200218	134.250000	134.320007	134.250000	134.270004	133.569809
20200219	134.250000	134.279999	134.210007	134.250000	133.549896
20200220	134.210007	134.270004	133.729996	134.190002	133.490219
20200221	134.190002	134.289993	134.119995	134.240005	133.539963
20200224	133.809998	134.149994	133.610001	133.960007	133.261429
20200225	134.009995	134.059998	133.699997	133.750000	133.052505
20200226	133.919998	134.000000	133.509995	133.509995	132.813751
20200227	133.339996	133.500000	132.990005	133.000000	132.306427
20200228	132.750000	133.770004	132.679993	133.589996	132.893341
20200302	133.600006	133.830002	133.220001	133.669998	132.972931
20200303	133.669998	134.070007	133.110001	133.360001	132.664551
20200304	133.750000	133.779999	133.500000	133.690002	132.992828
20200305	133.300003	133.600006	132.830002	133.250000	132.555115
20200306	132.699997	132.979996	132.410004	132.699997	132.007980
20200309	131.419998	131.779999	129.389999	130.039993	129.361847
20200310	130.559998	132.110001	130.559998	131.919998	131.232056
20200311	131.399994	131.550003	130.100006	130.429993	129.749817
20200312	129.500000	129.710007	123.260002	127.480003	126.815208
20200313	128.419998	129.279999	125.930000	127.940002	127.272812
20200316	125.000000	126.419998	115.089996	115.680000	115.076744
20200317	116.440002	117.300003	109.459999	115.879997	115.275696
20200318	112.919998	117.019997	103.889999	111.220001	110.640007
20200319	110.180000	127.389999	110.000000	126.000000	126.000000
20200320	128.000000	128.149994	125.010002	125.440002	125.440002
20200323	124.000000	125.970001	121.500000	121.669998	121.669998
20200324	124.550003	126.620003	124.269997	126.610001	126.610001
20200325	125.830002	127.919998	125.000000	126.660004	126.660004
20200326	127.550003	129.289993	126.739998	129.119995	129.119995
20200327	128.000000	128.970001	127.010002	127.440002	127.440002
20200330	128.000000	129.139999	127.550003	128.490005	128.490005
20200331	128.000000	129.809998	127.900002	129.500000	129.500000
20200401	127.750000	129.750000	127.750000	129.339996	129.339996
20200402	128.639999	129.940002	128.229996	129.770004	129.770004
20200403	129.000000	129.300003	127.750000	128.279999	128.279999
20200406	129.399994	129.399994	128.020004	128.169998	128.169998
20200407	129.130005	129.270004	128.139999	128.399994	128.399994
20200408	128.899994	130.570007	128.449997	129.369995	129.369995
20200409	129.110001	130.000000	127.949997	127.949997	127.949997
20200413	128.850006	129.000000	127.989998	128.210007	128.210007
20200414	128.440002	129.720001	128.300003	129.169998	129.169998
20200415	128.500000	129.500000	128.220001	128.759995	128.759995
20200416	128.759995	130.059998	126.300003	127.769997	127.769997
20200417	128.300003	129.320007	128.250000	129.149994	129.149994
20200420	128.330002	129.550003	128.330002	128.949997	128.949997
20200421	128.399994	129.500000	128.270004	129.320007	129.320007
20200422	129.350006	129.449997	128.669998	128.699997	128.699997
