Date	Open	High	Low	Close	Volume
20200203	80.360001	80.760002	79.330002	79.459999	79.459999
20200204	80.150002	81.889999	79.230003	81.510002	81.510002
20200205	81.959999	82.709999	81.750000	81.790001	81.790001
20200206	82.129997	83.080002	82.000000	82.769997	82.769997
20200207	83.370003	85.790001	82.260002	85.440002	85.440002
20200210	85.410004	85.650002	84.379997	84.529999	84.529999
20200211	93.699997	95.230003	92.660004	94.489998	94.489998
20200212	94.000000	96.269997	93.919998	95.669998	95.669998
20200213	95.120003	96.150002	94.800003	95.139999	95.139999
20200214	95.260002	96.620003	95.019997	96.480003	96.480003
20200218	96.849998	100.019997	96.279999	99.879997	99.879997
20200219	101.160004	101.349998	99.639999	100.489998	100.489998
20200220	100.099998	100.419998	98.230003	99.500000	99.500000
20200221	98.970001	99.489998	96.620003	98.570000	98.570000
20200224	96.129997	97.309998	95.879997	96.370003	96.370003
20200225	96.559998	97.000000	94.449997	94.580002	94.580002
20200226	94.680000	95.660004	93.440002	93.650002	93.650002
20200227	92.830002	93.320000	91.160004	91.239998	91.239998
20200228	89.440002	90.500000	87.480003	90.160004	90.160004
20200302	90.279999	93.360001	88.980003	93.290001	93.290001
20200303	92.629997	93.919998	88.769997	89.370003	89.370003
20200304	90.430000	93.959999	90.250000	93.809998	93.809998
20200305	91.610001	93.160004	89.190002	89.860001	89.860001
20200306	86.099998	88.279999	85.419998	87.860001	87.860001
20200309	83.269997	84.889999	79.580002	79.750000	79.750000
20200310	81.980003	85.010002	80.209999	84.980003	84.980003
20200311	82.860001	87.830002	82.849998	86.449997	86.449997
20200312	82.019997	85.000000	76.410004	76.760002	76.760002
20200313	80.150002	85.519997	76.610001	85.389999	85.389999
20200316	78.339996	80.550003	74.839996	76.529999	76.529999
20200317	77.599998	80.400002	75.449997	78.349998	78.349998
20200318	74.599998	76.099998	63.500000	74.320000	74.320000
20200319	74.769997	81.989998	73.610001	79.449997	79.449997
20200320	80.000000	82.000000	73.160004	74.550003	74.550003
20200323	74.980003	76.660004	70.830002	75.699997	75.699997
20200324	78.500000	79.709999	75.830002	78.650002	78.650002
20200325	77.769997	85.470001	77.750000	79.169998	79.169998
20200326	80.000000	84.989998	79.730003	84.629997	84.629997
20200327	82.540001	83.900002	81.019997	81.720001	81.720001
20200330	82.290001	83.860001	81.239998	83.120003	83.120003
20200331	83.040001	84.750000	81.980003	83.900002	83.900002
20200401	82.989998	86.709999	82.699997	85.129997	85.129997
20200402	85.050003	88.519997	84.019997	84.410004	84.410004
20200403	84.559998	84.989998	81.040001	81.980003	81.980003
20200406	84.489998	86.489998	82.989998	86.089996	86.089996
20200407	87.660004	87.910004	85.169998	86.510002	86.510002
20200408	86.599998	87.639999	86.000000	86.849998	86.849998
20200409	86.879997	87.750000	84.930000	85.900002	85.900002
20200413	84.589996	87.279999	84.470001	86.169998	86.169998
20200414	87.190002	89.940002	86.400002	89.620003	89.620003
20200415	87.919998	89.389999	87.099998	88.540001	88.540001
20200416	89.110001	90.580002	88.070000	90.269997	90.269997
20200417	92.750000	93.300003	89.860001	90.989998	90.989998
20200420	89.580002	91.730003	89.050003	89.940002	89.940002
20200421	89.250000	89.889999	86.099998	87.220001	87.220001
20200422	89.879997	89.879997	88.279999	89.139999	89.139999
