Date	Open	High	Low	Close	Volume
20200203	83.050003	84.690002	83.040001	83.269997	82.778038
20200204	83.959999	84.849998	83.639999	83.889999	83.394379
20200205	84.040001	84.639999	83.800003	84.110001	83.613075
20200206	81.000000	82.150002	78.480003	79.769997	79.298714
20200207	79.769997	81.269997	79.769997	80.349998	79.875290
20200210	80.599998	81.949997	80.360001	81.580002	81.098022
20200211	82.089996	83.489998	80.809998	80.989998	80.511505
20200212	80.989998	81.239998	80.250000	80.360001	79.885231
20200213	80.269997	81.529999	79.709999	81.180000	80.700386
20200214	81.339996	81.699997	80.309998	80.510002	80.034348
20200218	80.190002	80.510002	79.680000	80.150002	79.676476
20200219	80.269997	80.489998	77.820000	77.830002	77.370178
20200220	77.849998	79.110001	77.279999	78.800003	78.334450
20200221	78.680000	79.029999	77.599998	77.830002	77.370178
20200224	76.300003	77.029999	75.370003	75.589996	75.143410
20200225	75.790001	76.379997	71.349998	71.709999	71.286339
20200226	73.050003	73.269997	71.080002	71.089996	70.669998
20200227	69.809998	71.699997	69.050003	69.190002	69.190002
20200228	67.059998	68.220001	65.720001	67.830002	67.830002
20200302	68.320000	70.559998	67.720001	70.540001	70.540001
20200303	70.180000	71.519997	67.639999	68.500000	68.500000
20200304	69.599998	70.599998	68.900002	70.389999	70.389999
20200305	69.000000	69.010002	66.230003	67.010002	67.010002
20200306	65.139999	65.779999	63.330002	64.650002	64.650002
20200309	60.000000	63.279999	60.000000	60.880001	60.880001
20200310	62.450001	63.660000	59.709999	62.759998	62.759998
20200311	61.220001	61.369999	57.650002	58.549999	58.549999
20200312	53.889999	54.540001	49.939999	51.799999	51.799999
20200313	54.400002	54.509998	49.230000	52.509998	52.509998
20200316	46.570000	47.970001	44.130001	45.049999	45.049999
20200317	45.880001	49.680000	44.830002	47.860001	47.860001
20200318	45.000000	48.369999	42.570000	44.180000	44.180000
20200319	44.000000	57.299999	42.680000	54.209999	54.209999
20200320	57.160000	61.000000	53.180000	53.619999	53.619999
20200323	53.340000	58.830002	53.000000	57.599998	57.599998
20200324	62.020000	64.699997	57.709999	59.990002	59.990002
20200325	60.000000	65.669998	59.750000	63.189999	63.189999
20200326	63.470001	65.830002	60.520000	61.230000	61.230000
20200327	59.450001	59.869999	57.500000	58.590000	58.590000
20200330	58.939999	59.529999	57.290001	59.150002	59.150002
20200331	59.340000	59.340000	57.360001	57.869999	57.869999
20200401	56.400002	57.580002	55.049999	55.340000	55.340000
20200402	54.660000	55.970001	52.669998	54.150002	54.150002
20200403	53.090000	54.119999	52.330002	53.820000	53.820000
20200406	56.250000	56.910000	54.959999	56.450001	56.450001
20200407	58.439999	59.610001	56.700001	57.369999	57.369999
20200408	57.680000	59.250000	57.110001	58.410000	58.410000
20200409	59.000000	61.639999	59.000000	60.939999	60.939999
20200413	61.669998	62.689999	61.020000	62.180000	62.180000
20200414	62.959999	63.480000	61.160000	61.410000	61.410000
20200415	60.650002	60.770000	58.790001	60.150002	60.150002
20200416	60.150002	61.029999	58.869999	60.880001	60.880001
20200417	62.139999	62.959999	61.430000	62.340000	62.340000
20200420	61.880001	64.970001	61.580002	63.860001	63.860001
20200421	62.790001	63.279999	61.480000	61.910000	61.910000
20200422	62.189999	62.840000	60.459999	60.529999	60.529999
