Date	Open	High	Low	Close	Volume
20200228	128.190002	131.270004	125.269997	129.039993	128.400818
20200302	100.599998	104.919998	98.419998	100.550003	100.051949
20200303	101.089996	109.529999	100.320000	106.059998	105.534653
20200304	108.959999	118.099998	108.129997	117.820000	117.236404
20200305	114.199997	115.970001	111.519997	112.430000	111.873108
20200306	110.480003	113.500000	107.279999	112.529999	111.972610
20200309	107.570000	107.639999	103.400002	105.279999	104.758522
20200310	107.250000	108.410004	100.419998	107.070000	106.539650
20200311	104.320000	109.209999	103.239998	107.000000	106.470001
20200312	100.040001	102.989998	92.010002	96.330002	96.330002
20200313	100.430000	104.650002	96.370003	103.440002	103.440002
20200316	90.190002	103.019997	90.190002	92.190002	92.190002
20200317	92.800003	94.309998	88.269997	93.209999	93.209999
20200318	88.860001	90.160004	70.330002	83.010002	83.010002
20200319	81.059998	85.610001	77.750000	81.730003	81.730003
20200320	82.110001	84.110001	73.419998	75.680000	75.680000
20200323	73.849998	75.440002	70.000000	71.260002	71.260002
20200324	74.870003	78.989998	73.400002	76.809998	76.809998
20200325	76.860001	87.269997	76.230003	85.120003	85.120003
20200326	84.540001	92.419998	84.220001	86.879997	86.879997
20200327	84.400002	85.000000	80.500000	82.669998	82.669998
20200330	81.680000	85.620003	81.330002	84.300003	84.300003
20200331	82.849998	84.300003	80.570000	82.589996	82.589996
20200401	78.419998	81.870003	77.000000	80.889999	80.889999
20200402	80.669998	83.239998	80.260002	82.860001	82.860001
20200403	81.660004	84.129997	78.570000	80.029999	80.029999
20200406	84.000000	88.129997	83.110001	87.040001	87.040001
20200407	90.099998	92.550003	87.650002	88.169998	88.169998
20200408	87.949997	89.239998	86.540001	87.870003	87.870003
20200409	89.699997	94.309998	89.230003	91.599998	91.599998
20200413	90.680000	91.379997	87.820000	89.809998	89.809998
20200414	91.629997	92.680000	90.849998	92.129997	92.129997
20200415	89.449997	90.580002	86.519997	86.720001	86.720001
20200416	86.820000	87.220001	84.650002	85.769997	85.769997
20200417	88.459999	91.680000	86.730003	89.910004	89.910004
20200420	86.070000	87.750000	84.000000	85.019997	85.019997
20200421	84.120003	84.139999	79.980003	80.500000	80.500000
20200422	81.870003	82.449997	80.720001	81.360001	81.360001
