Date	Open	High	Low	Close	Volume
20200203	125.239998	126.349998	123.849998	124.349998	124.349998
20200204	126.300003	127.739998	124.800003	126.930000	126.930000
20200205	122.449997	123.919998	119.309998	120.760002	120.760002
20200206	121.050003	128.050003	121.050003	127.739998	127.739998
20200207	116.000000	117.660004	112.580002	112.599998	112.599998
20200210	112.500000	112.599998	109.089996	111.000000	111.000000
20200211	111.000000	112.690002	110.000000	112.389999	112.389999
20200212	112.529999	115.279999	112.010002	114.019997	114.019997
20200213	113.660004	114.260002	111.150002	112.209999	112.209999
20200214	112.580002	114.260002	111.769997	113.430000	113.430000
20200218	113.239998	114.169998	112.510002	113.430000	113.430000
20200219	114.099998	114.760002	113.470001	113.540001	113.540001
20200220	113.339996	115.209999	112.750000	115.129997	115.129997
20200221	114.699997	116.580002	114.040001	116.029999	116.029999
20200224	114.510002	116.550003	112.739998	113.019997	113.019997
20200225	113.500000	114.440002	110.589996	110.970001	110.970001
20200226	111.230003	112.500000	109.449997	109.470001	109.470001
20200227	107.559998	111.959999	106.220001	107.839996	107.839996
20200228	106.559998	109.279999	105.269997	107.480003	107.480003
20200302	108.580002	112.129997	107.919998	112.059998	112.059998
20200303	111.750000	115.040001	109.809998	111.220001	111.220001
20200304	113.440002	119.790001	113.440002	119.419998	119.419998
20200305	115.949997	119.080002	115.099998	117.269997	117.269997
20200306	113.699997	118.709999	113.470001	117.690002	117.690002
20200309	109.959999	118.029999	109.169998	113.879997	113.879997
20200310	118.599998	118.879997	113.300003	118.750000	118.750000
20200311	116.440002	119.830002	115.849998	119.050003	119.050003
20200312	112.000000	116.730003	108.349998	108.360001	108.360001
20200313	113.769997	116.730003	109.419998	116.620003	116.620003
20200316	105.839996	115.169998	104.949997	108.010002	108.010002
20200317	110.529999	117.959999	105.150002	116.470001	116.470001
20200318	111.650002	120.500000	101.800003	106.620003	106.620003
20200319	107.260002	108.750000	102.970001	106.360001	106.360001
20200320	108.519997	110.139999	100.000000	100.150002	100.150002
20200323	102.220001	111.940002	100.349998	109.820000	109.820000
20200324	114.089996	117.489998	108.389999	112.220001	112.220001
20200325	111.860001	115.300003	108.000000	109.720001	109.720001
20200326	110.250000	115.589996	108.610001	115.250000	115.250000
20200327	113.209999	114.580002	110.000000	111.699997	111.699997
20200330	113.879997	119.889999	112.889999	118.510002	118.510002
20200331	118.339996	120.699997	116.290001	118.610001	118.610001
20200401	115.519997	123.910004	114.660004	116.330002	116.330002
20200402	117.089996	120.120003	115.489998	119.510002	119.510002
20200403	119.339996	121.599998	117.769997	118.489998	118.489998
20200406	120.650002	122.480003	119.010002	121.290001	121.290001
20200407	123.430000	123.699997	117.199997	120.059998	120.059998
20200408	121.110001	122.120003	118.709999	119.099998	119.099998
20200409	119.500000	121.239998	118.410004	119.400002	119.400002
20200413	118.650002	120.410004	117.269997	120.000000	120.000000
20200414	124.260002	125.669998	122.690002	122.779999	122.779999
20200415	122.489998	126.800003	121.739998	123.500000	123.500000
20200416	124.360001	127.269997	122.820000	126.820000	126.820000
20200417	125.980003	126.250000	121.000000	124.440002	124.440002
20200420	124.239998	125.660004	123.110001	125.349998	125.349998
20200421	126.040001	128.080002	123.379997	125.730003	125.730003
20200422	126.690002	128.059998	123.459999	127.440002	127.440002
20200423	127.570000	127.989998	124.120003	124.550003	124.550003
20200424	125.440002	127.980003	124.650002	127.879997	127.879997
20200427	128.220001	129.339996	125.269997	125.930000	125.930000
20200428	125.459999	125.660004	120.419998	120.510002	120.510002
20200429	120.550003	122.169998	118.010002	121.180000	121.180000
20200430	120.940002	122.050003	119.370003	121.050003	121.050003
20200501	119.220001	123.480003	119.220001	122.650002	122.650002
20200504	123.610001	125.709999	122.860001	124.910004	124.910004
20200505	126.110001	126.790001	124.129997	125.279999	125.279999
20200506	126.570000	128.860001	125.610001	127.730003	127.730003
20200507	128.880005	130.289993	128.020004	128.889999	128.889999
