Date	Open	High	Low	Close	Volume
20200203	32.560001	33.240002	32.450001	33.070000	33.070000
20200204	33.750000	34.119999	33.400002	33.959999	33.959999
20200205	34.000000	34.160000	33.189999	33.389999	33.389999
20200206	36.529999	39.639999	36.419998	38.410000	38.410000
20200207	37.630001	38.150002	36.840000	37.029999	37.029999
20200210	36.630001	36.849998	35.650002	35.959999	35.959999
20200211	36.119999	36.279999	35.529999	35.650002	35.650002
20200212	36.189999	37.020000	36.169998	36.790001	36.790001
20200213	36.430000	37.320000	36.209999	37.160000	37.160000
20200214	37.000000	37.349998	36.580002	36.910000	36.910000
20200218	36.779999	38.070000	36.680000	38.060001	38.060001
20200219	38.090000	38.910000	37.939999	38.770000	38.770000
20200220	38.759998	39.060001	37.959999	39.049999	39.049999
20200221	38.669998	38.759998	38.040001	38.310001	38.310001
20200224	36.500000	36.590000	35.299999	35.889999	35.889999
20200225	36.180000	36.450001	34.889999	35.209999	35.209999
20200226	35.279999	35.820000	34.439999	34.630001	34.630001
20200227	33.730000	34.200001	32.470001	33.009998	33.009998
20200228	31.860001	33.369999	31.510000	33.200001	33.200001
20200302	36.000000	36.860001	35.139999	35.820000	35.820000
20200303	36.020000	36.480000	34.410000	34.930000	34.930000
20200304	35.759998	36.000000	34.770000	36.000000	36.000000
20200305	35.029999	35.730000	34.520000	34.970001	34.970001
20200306	33.810001	33.990002	32.509998	33.459999	33.459999
20200309	31.809999	35.360001	30.620001	32.459999	32.459999
20200310	33.900002	34.779999	33.119999	34.310001	34.310001
20200311	33.299999	33.459999	30.010000	31.299999	31.299999
20200312	29.080000	29.690001	26.700001	26.780001	26.780001
20200313	28.830000	29.410000	26.400000	29.290001	29.290001
20200316	26.120001	28.350000	23.920000	24.040001	24.040001
20200317	24.379999	25.840000	23.180000	24.480000	24.480000
20200318	22.950001	23.490000	20.000000	22.000000	22.000000
20200319	22.110001	25.170000	20.660000	24.129999	24.129999
20200320	24.969999	25.860001	23.700001	23.950001	23.950001
20200323	23.799999	25.250000	23.500000	24.690001	24.690001
20200324	25.790001	26.459999	24.129999	25.850000	25.850000
20200325	25.850000	27.459999	24.520000	25.969999	25.969999
20200326	26.150000	27.030001	25.629999	26.410000	26.410000
20200327	25.559999	25.830000	24.760000	25.290001	25.290001
20200330	25.250000	25.940001	24.600000	25.590000	25.590000
20200331	25.790001	26.330000	24.400000	24.559999	24.559999
20200401	23.700001	24.389999	23.049999	23.320000	23.320000
20200402	23.000000	23.580000	22.360001	23.020000	23.020000
20200403	24.100000	24.320000	22.750000	23.090000	23.090000
20200406	24.100000	25.049999	23.790001	24.930000	24.930000
20200407	25.969999	26.860001	25.309999	25.610001	25.610001
20200408	26.790001	28.459999	25.920000	27.860001	27.860001
20200409	28.480000	29.049999	27.280001	27.770000	27.770000
20200413	27.549999	27.620001	26.240000	27.209999	27.209999
20200414	28.000000	28.410000	27.600000	27.940001	27.940001
20200415	27.100000	27.639999	26.750000	27.510000	27.510000
20200416	26.860001	27.170000	25.959999	26.549999	26.549999
20200417	27.160000	27.920000	26.469999	26.700001	26.700001
20200420	26.309999	27.530001	26.110001	27.010000	27.010000
20200421	26.389999	26.719999	25.059999	25.750000	25.750000
20200422	27.000000	27.230000	26.450001	27.065001	27.065001
