Date	Open	High	Low	Close	Volume
20200203	75.489998	77.120003	74.879997	74.910004	74.910004
20200204	76.639999	79.529999	76.500000	78.889999	78.889999
20200205	80.760002	82.360001	80.050003	81.849998	81.849998
20200206	82.400002	82.720001	79.790001	80.500000	80.500000
20200207	80.000000	80.239998	78.650002	79.480003	79.480003
20200210	78.949997	79.610001	77.779999	79.470001	79.470001
20200211	80.019997	81.449997	79.940002	80.529999	80.529999
20200212	81.080002	82.599998	81.000000	82.199997	82.199997
20200213	81.000000	81.739998	80.370003	80.989998	80.989998
20200214	81.019997	81.440002	79.400002	79.550003	79.550003
20200218	79.000000	80.629997	78.650002	80.239998	80.239998
20200219	80.940002	80.940002	79.190002	79.419998	79.419998
20200220	79.300003	81.669998	79.300003	79.910004	79.910004
20200221	79.400002	79.400002	77.320000	78.010002	78.010002
20200224	75.080002	76.019997	73.650002	75.470001	75.470001
20200225	75.760002	76.180000	70.320000	70.570000	70.570000
20200226	71.750000	71.910004	65.889999	66.529999	66.529999
20200227	62.900002	69.019997	61.200001	64.940002	64.940002
20200228	62.849998	64.879997	60.830002	61.590000	61.590000
20200302	61.130001	61.270000	57.040001	61.259998	61.259998
20200303	63.139999	63.529999	57.959999	58.290001	58.290001
20200304	59.509998	59.740002	56.320000	59.470001	59.470001
20200305	57.110001	57.160000	50.930000	51.590000	51.590000
20200306	48.610001	56.000000	48.259998	52.099998	52.099998
20200309	49.590000	50.990002	45.919998	46.779999	46.779999
20200310	51.000000	54.330002	46.619999	52.560001	52.560001
20200311	50.529999	51.230000	48.049999	49.340000	49.340000
20200312	42.770000	44.310001	37.009998	37.080002	37.080002
20200313	41.330002	42.490002	34.000000	41.639999	41.639999
20200316	34.340000	39.369999	30.379999	35.470001	35.470001
20200317	36.490002	38.139999	30.049999	30.670000	30.670000
20200318	28.809999	28.969999	17.799999	21.379999	21.379999
20200319	21.340000	23.990000	18.090000	21.280001	21.280001
20200320	23.370001	30.740000	22.200001	24.500000	24.500000
20200323	25.969999	26.600000	23.370001	26.250000	26.250000
20200324	31.990000	34.150002	30.010000	33.000000	33.000000
20200325	38.000000	39.470001	33.290001	36.599998	36.599998
20200326	38.380001	39.779999	34.529999	35.549999	35.549999
20200327	35.020000	35.200001	32.029999	32.840000	32.840000
20200330	30.690001	31.799999	28.000000	30.160000	30.160000
20200331	31.309999	33.599998	30.580000	31.549999	31.549999
20200401	29.510000	29.690001	25.360001	25.650000	25.650000
20200402	25.240000	26.090000	23.000000	23.420000	23.420000
20200403	24.219999	24.940001	21.559999	22.889999	22.889999
20200406	23.900000	24.799999	21.799999	24.020000	24.020000
20200407	28.200001	28.690001	23.719999	24.480000	24.480000
20200408	25.650000	27.540001	24.510000	27.510000	27.510000
20200409	29.920000	34.040001	29.570000	31.500000	31.500000
20200413	32.630001	32.700001	27.590000	28.910000	28.910000
20200414	30.520000	32.209999	30.379999	30.900000	30.900000
20200415	31.969999	32.599998	29.879999	31.860001	31.860001
20200416	30.350000	30.490000	27.920000	28.209999	28.209999
20200417	29.900000	30.110001	28.860001	29.080000	29.080000
20200420	27.930000	28.670000	26.690001	27.790001	27.790001
20200421	27.010000	28.360001	26.760000	27.879999	27.879999
20200422	27.299999	27.660000	25.760000	25.915001	25.915001
