Date	Open	High	Low	Close	Volume
20200203	48.130001	48.520000	48.020000	48.060001	47.576042
20200204	48.150002	48.770000	47.970001	48.480000	47.991810
20200205	48.480000	48.799999	48.230000	48.450001	47.962112
20200206	48.520000	48.880001	48.400002	48.630001	48.140301
20200207	48.779999	48.939999	48.619999	48.830002	48.338287
20200210	49.070000	49.419998	48.970001	49.400002	48.902550
20200211	49.509998	49.810001	49.279999	49.459999	48.961941
20200212	49.480000	49.480000	48.779999	49.290001	48.793655
20200213	49.209999	49.759998	49.209999	49.610001	49.110432
20200214	49.759998	50.330002	49.689999	50.320000	49.813282
20200218	50.430000	50.560001	49.919998	50.430000	49.922176
20200219	50.369999	50.480000	50.110001	50.180000	49.674694
20200220	50.200001	50.799999	50.020000	50.730000	50.219154
20200221	50.669998	51.020000	50.599998	50.930000	50.417141
20200224	50.540001	51.250000	50.459999	50.520000	50.011269
20200225	50.590000	50.770000	49.380001	49.490002	48.991642
20200226	49.590000	50.150002	49.250000	49.279999	48.783752
20200227	48.869999	49.290001	46.950001	47.009998	46.536613
20200228	46.200001	46.200001	44.020000	44.980000	44.527054
20200302	45.330002	47.220001	45.160000	47.080002	46.605911
20200303	47.320000	48.509998	46.709999	47.369999	46.892986
20200304	48.070000	49.459999	48.070000	49.349998	48.853050
20200305	48.610001	49.160000	48.139999	48.740002	48.249195
20200306	47.580002	48.450001	46.459999	48.310001	47.823524
20200309	46.500000	47.049999	45.330002	45.580002	45.121014
20200310	46.400002	46.990002	44.619999	46.980000	46.506916
20200311	45.849998	46.040001	44.130001	44.520000	44.071690
20200312	41.849998	44.880001	40.349998	41.270000	40.854416
20200313	42.869999	44.759998	41.200001	44.660000	44.210278
20200316	41.480000	41.480000	36.580002	36.820000	36.449226
20200317	37.790001	39.939999	36.209999	38.840000	38.448887
20200318	36.490002	38.939999	34.330002	35.529999	35.172215
20200319	35.230000	37.110001	33.549999	33.759998	33.420040
20200320	33.849998	34.560001	31.459999	32.029999	31.707460
20200323	31.959999	32.000000	29.200001	30.040001	29.737501
20200324	31.209999	32.230000	29.750000	30.910000	30.598740
20200325	30.700001	34.680000	30.360001	32.889999	32.558800
20200326	32.740002	35.919998	32.369999	35.779999	35.419697
20200327	34.619999	38.959999	34.419998	37.939999	37.557945
20200330	38.330002	38.599998	35.970001	37.720001	37.340164
20200331	37.220001	37.860001	35.189999	36.540001	36.172047
20200401	34.619999	35.209999	31.940001	32.980000	32.647896
20200402	32.299999	34.009998	31.090000	31.950001	31.628267
20200403	31.549999	32.790001	31.320000	31.620001	31.301590
20200406	33.270000	35.540001	33.259998	35.340000	34.984131
20200407	36.700001	37.380001	35.599998	35.750000	35.389999
20200408	35.750000	39.040001	35.360001	38.660000	38.660000
20200409	39.000000	41.880001	39.000000	41.119999	41.119999
20200413	40.619999	40.889999	38.480000	38.560001	38.560001
20200414	39.480000	40.040001	38.650002	39.360001	39.360001
20200415	38.209999	38.639999	36.740002	37.000000	37.000000
20200416	37.189999	37.419998	36.009998	36.630001	36.630001
20200417	37.580002	39.139999	37.520000	38.939999	38.939999
20200420	37.009998	38.340000	36.360001	36.369999	36.369999
20200421	35.400002	36.270000	35.290001	35.580002	35.580002
20200422	36.130001	36.580002	35.549999	35.880001	35.880001
