Date	Open	High	Low	Close	Volume
20200203	199.940002	202.259995	199.850006	200.809998	200.519592
20200204	203.500000	204.919998	202.229996	203.559998	203.265610
20200205	205.500000	205.600006	199.949997	202.809998	202.516693
20200206	203.050003	204.630005	202.479996	203.039993	202.746353
20200207	201.979996	203.830002	201.089996	202.740005	202.446808
20200210	201.970001	206.130005	201.860001	205.990005	205.692108
20200211	207.500000	207.669998	203.639999	203.940002	203.645065
20200212	205.000000	208.149994	205.000000	207.440002	207.139999
20200213	206.619995	208.470001	206.050003	207.399994	207.399994
20200214	208.289993	210.779999	208.009995	210.289993	210.289993
20200218	210.000000	211.500000	209.360001	211.199997	211.199997
20200219	212.520004	214.169998	211.720001	213.309998	213.309998
20200220	212.130005	213.690002	208.279999	211.449997	211.449997
20200221	209.899994	210.220001	207.419998	208.809998	208.809998
20200224	197.889999	203.770004	194.009995	198.789993	198.789993
20200225	198.789993	199.889999	187.720001	188.399994	188.399994
20200226	190.000000	193.509995	187.029999	187.210007	187.210007
20200227	182.119995	186.339996	180.000000	180.009995	180.009995
20200228	173.789993	182.330002	172.979996	181.759995	181.759995
20200302	186.320007	192.440002	183.100006	192.330002	192.330002
20200303	193.199997	194.039993	184.500000	185.729996	185.729996
20200304	190.360001	194.490005	186.169998	194.289993	194.289993
20200305	191.240005	191.919998	185.639999	186.960007	186.960007
20200306	183.539993	185.990005	179.979996	184.360001	184.360001
20200309	171.210007	179.570007	168.309998	171.130005	171.130005
20200310	179.470001	182.610001	171.880005	182.600006	182.600006
20200311	177.649994	178.729996	170.199997	172.949997	172.949997
20200312	158.500000	172.000000	156.990005	160.080002	160.080002
20200313	168.720001	176.320007	162.210007	175.830002	175.830002
20200316	151.139999	165.309998	147.979996	152.009995	152.009995
20200317	155.750000	163.699997	149.250000	157.889999	157.889999
20200318	148.460007	150.679993	139.800003	148.479996	148.479996
20200319	146.919998	157.250000	141.470001	152.250000	152.250000
20200320	154.820007	158.259995	145.669998	146.830002	146.830002
20200323	141.330002	143.350006	133.929993	135.740005	135.740005
20200324	144.839996	155.250000	143.580002	154.529999	154.529999
20200325	159.320007	168.179993	153.580002	161.779999	161.779999
20200326	162.080002	169.529999	161.789993	168.880005	168.880005
20200327	161.080002	167.100006	158.149994	161.559998	161.559998
20200330	161.039993	165.869995	160.690002	165.570007	165.570007
20200331	166.429993	168.190002	160.539993	161.119995	161.119995
20200401	156.320007	158.070007	151.419998	153.110001	153.110001
20200402	152.529999	158.350006	151.289993	157.389999	157.389999
20200403	155.559998	157.720001	150.600006	151.850006	151.850006
20200406	160.020004	170.729996	158.250000	169.440002	169.440002
20200407	177.759995	178.800003	168.100006	168.589996	168.589996
20200408	171.009995	176.000000	167.929993	174.940002	174.940002
20200409	176.270004	177.190002	172.850006	173.690002	173.690002
20200413	172.259995	172.320007	166.149994	168.990005	168.990005
20200414	173.089996	175.429993	170.830002	174.619995	174.619995
20200415	168.699997	169.360001	164.949997	165.960007	165.960007
20200416	167.110001	168.000000	159.800003	162.419998	162.419998
20200417	169.649994	170.990005	164.949997	169.539993	169.539993
20200420	167.330002	167.429993	163.199997	164.220001	164.220001
20200421	162.000000	162.570007	159.149994	160.529999	160.529999
20200422	164.660004	167.699997	162.919998	166.589996	166.589996
20200423	167.880005	170.410004	166.210007	166.380005	166.380005
20200424	168.440002	168.750000	164.009995	167.320007	167.320007
20200427	168.649994	172.350006	168.550003	171.759995	171.759995
20200428	175.000000	175.009995	170.380005	171.250000	171.250000
20200429	176.850006	182.250000	176.100006	181.789993	181.789993
20200430	181.779999	181.830002	177.660004	178.720001	178.720001
20200501	174.449997	179.639999	174.270004	175.570007	175.570007
20200504	172.949997	176.940002	171.720001	176.149994	176.149994
20200505	179.089996	181.100006	178.259995	178.440002	178.440002
20200506	179.720001	180.509995	177.880005	178.779999	178.779999
20200507	181.750000	184.979996	181.710007	184.550003	184.550003
