Date	Open	High	Low	Close	Volume
20200203	141.899994	143.160004	139.679993	140.220001	140.220001
20200204	142.410004	143.050003	141.190002	141.429993	141.429993
20200205	142.179993	143.509995	141.339996	141.509995	141.509995
20200206	141.729996	142.750000	140.869995	142.460007	142.460007
20200207	142.070007	142.070007	140.330002	140.809998	140.809998
20200210	140.449997	142.369995	139.970001	142.199997	142.199997
20200211	142.880005	145.589996	142.880005	145.449997	145.449997
20200212	145.449997	147.679993	145.250000	147.380005	147.380005
20200213	147.190002	148.169998	146.559998	146.910004	146.910004
20200214	147.179993	147.199997	145.820007	146.919998	146.919998
20200218	146.800003	146.960007	145.460007	145.899994	145.899994
20200219	146.449997	147.889999	146.449997	146.600006	146.600006
20200220	146.539993	146.899994	143.539993	145.070007	145.070007
20200221	144.820007	144.820007	142.270004	143.440002	143.440002
20200224	139.470001	140.600006	134.800003	135.550003	135.550003
20200225	135.740005	135.800003	131.800003	131.979996	131.979996
20200226	133.100006	134.339996	129.059998	130.169998	130.169998
20200227	127.930000	130.419998	125.629997	126.099998	126.099998
20200228	122.620003	124.239998	119.820000	122.970001	122.970001
20200302	123.320000	126.559998	120.980003	126.550003	126.550003
20200303	126.089996	128.289993	123.419998	125.519997	125.519997
20200304	127.750000	131.789993	127.000000	131.389999	131.389999
20200305	128.490005	128.940002	124.000000	125.750000	125.750000
20200306	122.430000	124.680000	121.070000	124.309998	124.309998
20200309	119.629997	119.629997	114.629997	115.680000	115.680000
20200310	118.550003	120.760002	114.019997	120.660004	120.660004
20200311	117.199997	117.199997	111.309998	113.040001	113.040001
20200312	106.930000	109.650002	102.639999	104.250000	104.250000
20200313	109.459999	113.769997	106.230003	113.139999	113.139999
20200316	103.190002	108.070000	103.010002	103.519997	103.519997
20200317	105.900002	111.989998	100.980003	111.260002	111.260002
20200318	103.519997	110.949997	103.510002	110.320000	110.320000
20200319	110.059998	116.459999	103.730003	107.900002	107.900002
20200320	110.349998	110.349998	98.309998	99.519997	99.519997
20200323	100.000000	100.000000	89.620003	89.809998	89.809998
20200324	94.320000	102.610001	93.070000	102.320000	102.320000
20200325	101.959999	109.849998	101.209999	104.849998	104.849998
20200326	105.980003	112.010002	104.690002	108.220001	108.220001
20200327	104.860001	104.860001	100.330002	100.970001	100.970001
20200330	102.360001	105.480003	100.720001	103.720001	103.720001
20200331	103.230003	105.980003	101.860001	102.660004	102.660004
20200401	97.919998	99.199997	92.570000	94.440002	94.440002
20200402	93.180000	98.480003	92.239998	97.620003	97.620003
20200403	97.300003	99.540001	95.029999	96.349998	96.349998
20200406	101.000000	106.129997	99.239998	104.190002	104.190002
20200407	108.379997	111.290001	105.830002	107.120003	107.120003
20200408	108.480003	116.000000	106.209999	115.230003	115.230003
20200409	111.730003	116.470001	111.620003	113.150002	113.150002
20200413	111.849998	112.080002	108.370003	110.230003	110.230003
20200414	112.389999	114.089996	111.410004	112.699997	112.699997
20200415	110.690002	111.220001	107.050003	109.480003	109.480003
20200416	110.559998	110.559998	107.029999	108.379997	108.379997
20200417	110.500000	115.860001	110.500000	115.750000	115.750000
20200420	114.790001	115.529999	111.769997	112.040001	112.040001
20200421	109.430000	109.430000	103.669998	104.099998	104.099998
20200422	104.779999	108.010002	104.500000	107.220001	107.220001
20200423	108.370003	111.290001	107.349998	107.949997	107.949997
20200424	108.779999	108.830002	106.900002	108.680000	108.680000
20200427	109.260002	111.889999	109.260002	110.970001	110.970001
20200428	111.919998	112.500000	108.739998	108.860001	108.860001
20200429	112.160004	117.290001	110.430000	115.699997	115.699997
20200430	114.300003	114.970001	112.820000	114.379997	114.379997
20200501	112.480003	113.169998	110.260002	111.370003	111.370003
20200504	110.580002	115.220001	109.610001	114.370003	114.370003
20200505	116.500000	119.000000	113.339996	115.029999	115.029999
20200506	115.349998	117.470001	115.050003	116.059998	116.059998
20200507	117.510002	118.459999	116.660004	117.195000	117.195000
