Date	Open	High	Low	Close	Volume
20200203	83.300003	84.550003	82.860001	82.910004	82.342529
20200204	84.110001	84.930000	83.860001	83.949997	83.375404
20200205	84.370003	85.120003	83.830002	84.599998	84.020958
20200206	84.940002	85.330002	84.010002	84.080002	83.504517
20200207	83.349998	84.099998	82.870003	82.959999	82.392181
20200210	82.830002	83.610001	82.629997	83.330002	82.759651
20200211	83.000000	83.550003	82.699997	82.959999	82.392181
20200212	83.580002	84.360001	83.239998	83.930000	83.355545
20200213	83.529999	84.260002	83.160004	84.050003	83.474724
20200214	84.279999	84.400002	83.099998	83.660004	83.087395
20200218	83.300003	83.769997	82.480003	82.669998	82.104164
20200219	82.980003	83.760002	82.669998	83.400002	82.829170
20200220	83.449997	84.099998	82.599998	83.989998	83.415131
20200221	83.510002	84.110001	82.870003	83.720001	83.146980
20200224	80.750000	82.599998	80.599998	81.830002	81.269920
20200225	82.180000	82.309998	77.040001	77.239998	76.711334
20200226	77.599998	78.830002	76.370003	76.389999	75.867149
20200227	74.910004	76.750000	73.199997	73.199997	72.698982
20200228	71.089996	73.110001	70.000000	72.000000	71.507202
20200302	72.500000	74.760002	70.760002	74.650002	74.139061
20200303	74.870003	76.139999	70.800003	71.510002	71.020554
20200304	72.360001	74.400002	70.790001	74.309998	73.801384
20200305	73.070000	73.070000	70.540001	71.570000	71.080139
20200306	69.470001	71.680000	68.680000	70.129997	69.649994
20200309	65.089996	65.449997	62.020000	62.389999	62.389999
20200310	64.519997	65.230003	60.869999	65.160004	65.160004
20200311	63.259998	64.680000	62.180000	62.720001	62.720001
20200312	59.000000	60.020000	53.189999	55.349998	55.349998
20200313	58.099998	59.630001	54.950001	59.540001	59.540001
20200316	53.770000	58.080002	51.250000	55.720001	55.720001
20200317	56.590000	62.700001	54.450001	60.680000	60.680000
20200318	55.720001	57.570000	52.250000	57.299999	57.299999
20200319	54.790001	58.540001	53.049999	57.080002	57.080002
20200320	57.560001	58.180000	51.590000	52.779999	52.779999
20200323	50.669998	51.939999	45.070000	45.990002	45.990002
20200324	48.959999	52.970001	48.180000	52.430000	52.430000
20200325	53.160000	60.389999	52.020000	58.049999	58.049999
20200326	58.090000	62.439999	57.639999	61.930000	61.930000
20200327	57.869999	59.450001	57.020000	57.790001	57.790001
20200330	57.830002	60.410000	57.049999	59.750000	59.750000
20200331	59.060001	59.599998	53.740002	54.080002	54.080002
20200401	51.119999	51.740002	47.939999	48.680000	48.680000
20200402	48.189999	50.840000	47.799999	49.119999	49.119999
20200403	48.700001	49.770000	48.119999	48.880001	48.880001
20200406	51.270000	55.570000	51.250000	54.669998	54.669998
20200407	57.939999	59.250000	56.150002	56.340000	56.340000
20200408	57.230000	58.980000	56.049999	57.990002	57.990002
20200409	59.439999	60.470001	58.160000	59.209999	59.209999
20200413	59.200001	59.200001	57.230000	57.500000	57.500000
20200414	58.900002	59.970001	58.509998	59.570000	59.570000
20200415	57.619999	57.779999	55.680000	55.849998	55.849998
20200416	55.939999	56.060001	53.750000	54.849998	54.849998
20200417	57.049999	58.990002	56.959999	57.500000	57.500000
20200420	56.349998	57.560001	55.520000	55.830002	55.830002
20200421	53.500000	54.660000	52.500000	53.340000	53.340000
20200422	54.400002	55.029999	53.865002	54.369999	54.369999
