Date	Open	High	Low	Close	Volume
20200203	65.599998	69.050003	64.690002	67.239998	66.370590
20200204	69.000000	69.879997	68.349998	68.430000	67.545204
20200205	69.440002	70.480003	67.410004	68.110001	67.229347
20200206	68.779999	69.129997	67.639999	68.699997	67.811714
20200207	68.050003	68.239998	66.889999	67.029999	66.163307
20200210	66.400002	68.019997	66.260002	68.019997	67.140503
20200211	69.139999	69.800003	68.239998	68.919998	68.028870
20200212	69.699997	71.300003	69.699997	70.349998	69.440376
20200213	69.160004	71.089996	69.040001	69.580002	68.680336
20200214	70.139999	70.269997	68.339996	69.250000	68.354607
20200218	67.720001	68.430000	67.010002	68.309998	67.426758
20200219	68.980003	70.279999	68.800003	69.559998	68.660591
20200220	69.599998	69.699997	67.430000	69.059998	68.167061
20200221	68.480003	68.769997	66.150002	66.980003	66.113960
20200224	63.599998	64.940002	63.139999	63.560001	62.738174
20200225	63.630001	64.110001	59.099998	59.529999	58.760281
20200226	59.869999	61.730000	59.330002	59.619999	58.849117
20200227	57.099998	58.389999	54.939999	55.169998	54.456654
20200228	52.250000	55.709999	51.779999	55.560001	54.841614
20200302	57.349998	60.070000	56.380001	60.040001	59.263687
20200303	59.599998	60.959999	56.340000	56.930000	56.193901
20200304	58.340000	59.279999	56.750000	59.139999	58.375324
20200305	56.880001	59.560001	56.779999	57.709999	56.963814
20200306	55.049999	57.080002	53.369999	54.730000	54.022346
20200309	49.560001	50.650002	47.320000	47.400002	46.787125
20200310	49.970001	50.500000	46.430000	49.950001	49.304150
20200311	47.820000	47.959999	44.189999	45.139999	44.556343
20200312	40.639999	43.049999	36.810001	39.110001	38.604313
20200313	42.810001	43.130001	38.380001	41.820000	41.279270
20200316	35.340000	37.770000	33.130001	33.270000	32.839821
20200317	34.230000	37.000000	31.000000	34.049999	33.609737
20200318	31.049999	32.000000	27.940001	29.190001	28.812576
20200319	29.200001	32.529999	27.400000	31.340000	30.934776
20200320	32.349998	34.830002	31.000000	31.049999	30.648525
20200323	32.090000	35.000000	30.200001	34.369999	33.925598
20200324	37.590000	41.349998	36.610001	40.470001	39.946728
20200325	40.799999	45.410000	38.939999	41.630001	41.091728
20200326	43.490002	46.189999	42.700001	44.290001	43.717335
20200327	42.360001	43.680000	40.570000	42.250000	41.703712
20200330	42.750000	44.580002	41.820000	43.509998	42.947418
20200331	43.099998	44.130001	41.070000	41.619999	41.081856
20200401	39.700001	41.279999	37.910000	38.669998	38.169998
20200402	38.560001	40.689999	37.430000	38.400002	38.400002
20200403	38.610001	39.380001	37.500000	38.209999	38.209999
20200406	40.639999	43.680000	40.639999	43.310001	43.310001
20200407	45.549999	47.180000	42.660000	42.860001	42.860001
20200408	43.759998	45.919998	43.509998	45.340000	45.340000
20200409	46.709999	48.160000	43.580002	45.049999	45.049999
20200413	44.270000	44.810001	42.810001	43.759998	43.759998
20200414	44.759998	45.900002	44.200001	44.770000	44.770000
20200415	43.150002	43.590000	41.799999	42.650002	42.650002
20200416	42.790001	43.000000	40.400002	41.080002	41.080002
20200417	43.139999	43.160000	41.660000	42.320000	42.320000
20200420	41.580002	41.580002	39.490002	39.549999	39.549999
20200421	38.560001	38.990002	37.689999	37.830002	37.830002
20200422	39.209999	39.650002	38.900002	39.470001	39.470001
