Date	Open	High	Low	Close	Volume
20200203	100.199997	100.940002	100.169998	100.889999	100.256622
20200204	100.449997	100.790001	99.610001	99.639999	99.014465
20200205	99.489998	100.059998	98.910004	100.010002	99.382149
20200206	99.940002	100.239998	99.480003	99.900002	99.272835
20200207	100.230003	100.540001	99.690002	99.750000	99.123779
20200210	99.970001	100.169998	99.519997	100.139999	99.511330
20200211	100.389999	100.639999	100.089996	100.190002	99.561020
20200212	99.690002	100.930000	99.379997	100.750000	100.117500
20200213	100.269997	101.360001	99.900002	101.209999	101.209999
20200214	101.580002	102.110001	101.349998	101.870003	101.870003
20200218	102.370003	103.099998	101.989998	102.879997	102.879997
20200219	102.860001	103.250000	102.400002	102.410004	102.410004
20200220	102.379997	102.550003	101.660004	102.389999	102.389999
20200221	102.379997	103.279999	102.250000	102.500000	102.500000
20200224	102.370003	102.849998	101.419998	101.820000	101.820000
20200225	101.989998	102.430000	100.209999	100.410004	100.410004
20200226	100.500000	101.639999	100.260002	100.290001	100.290001
20200227	100.099998	101.279999	95.489998	95.559998	95.559998
20200228	94.000000	94.000000	90.160004	92.330002	92.330002
20200302	92.889999	97.720001	92.730003	97.690002	97.690002
20200303	97.709999	100.139999	97.169998	97.580002	97.580002
20200304	98.739998	104.550003	98.739998	104.209999	104.209999
20200305	102.370003	105.260002	102.070000	104.110001	104.110001
20200306	101.669998	105.430000	100.550003	104.720001	104.720001
20200309	97.809998	104.279999	97.809998	102.370003	102.370003
20200310	102.930000	105.639999	98.239998	102.050003	102.050003
20200311	99.980003	101.349998	96.339996	97.449997	97.449997
20200312	91.489998	98.120003	78.930000	91.639999	91.639999
20200313	95.260002	99.550003	92.239998	99.419998	99.419998
20200316	91.489998	101.370003	90.000000	92.680000	92.680000
20200317	95.250000	109.529999	94.699997	102.459999	102.459999
20200318	98.470001	107.400002	92.029999	104.529999	104.529999
20200319	103.760002	104.989998	90.010002	90.410004	90.410004
20200320	90.570000	90.570000	72.080002	74.089996	74.089996
20200323	73.269997	76.440002	68.010002	70.889999	70.889999
20200324	72.269997	80.680000	70.290001	80.209999	80.209999
20200325	79.639999	84.000000	77.300003	80.739998	80.739998
20200326	81.040001	88.250000	80.360001	86.769997	86.769997
20200327	84.330002	92.730003	83.209999	89.070000	89.070000
20200330	90.610001	92.599998	89.160004	91.889999	91.889999
20200331	90.360001	91.209999	86.910004	88.129997	88.129997
20200401	84.959999	86.900002	80.559998	83.519997	83.519997
20200402	81.430000	88.620003	80.580002	88.010002	88.010002
20200403	86.320000	87.769997	85.010002	85.250000	85.250000
20200406	87.680000	92.370003	87.160004	91.279999	91.279999
20200407	93.120003	93.610001	87.160004	87.760002	87.760002
20200408	88.360001	92.879997	87.519997	92.199997	92.199997
20200409	92.900002	98.779999	92.610001	98.220001	98.220001
20200413	96.800003	97.970001	93.910004	95.019997	95.019997
20200414	97.139999	99.419998	95.610001	99.330002	99.330002
20200415	98.019997	98.739998	96.000000	96.889999	96.889999
20200416	97.610001	99.599998	96.550003	98.959999	98.959999
20200417	100.260002	101.000000	97.230003	100.339996	100.339996
20200420	99.599998	100.169998	95.800003	95.879997	95.879997
20200421	94.139999	96.459999	93.620003	95.139999	95.139999
20200422	96.620003	97.570000	96.320000	96.820000	96.820000
