Date	Open	High	Low	Close	Volume
20200203	73.949997	74.889999	73.860001	74.389999	74.254295
20200204	74.790001	75.830002	74.529999	74.839996	74.703476
20200205	75.309998	76.260002	75.110001	76.190002	76.051018
20200206	76.320000	77.389999	76.320000	77.180000	77.039207
20200207	77.040001	77.940002	76.940002	77.809998	77.668060
20200210	77.860001	78.790001	77.839996	78.760002	78.616325
20200211	78.849998	79.410004	78.830002	79.279999	79.135376
20200212	79.180000	79.180000	78.470001	78.639999	78.496544
20200213	78.529999	79.330002	78.309998	79.320000	79.175301
20200214	79.320000	79.440002	78.830002	79.400002	79.255157
20200218	79.400002	79.820000	79.110001	79.360001	79.215233
20200219	79.519997	79.919998	79.279999	79.480003	79.335014
20200220	79.190002	79.410004	77.519997	78.070000	77.927582
20200221	77.989998	78.879997	77.870003	78.650002	78.506531
20200224	77.830002	78.440002	76.949997	77.040001	76.899467
20200225	77.050003	77.370003	75.070000	75.169998	75.032875
20200226	75.470001	76.160004	74.010002	74.040001	73.904938
20200227	73.180000	73.720001	69.889999	69.989998	69.862320
20200228	68.489998	69.040001	66.120003	67.139999	67.017525
20200302	67.279999	70.209999	66.559998	70.199997	70.071938
20200303	70.099998	71.230003	67.650002	67.959999	67.836029
20200304	69.110001	70.029999	67.629997	70.019997	69.892265
20200305	68.370003	68.470001	66.239998	66.790001	66.668159
20200306	64.660004	66.639999	64.099998	66.239998	66.119164
20200309	62.709999	62.709999	59.290001	60.299999	60.189999
20200310	61.790001	63.160000	60.139999	63.110001	63.110001
20200311	61.209999	61.389999	57.869999	58.150002	58.150002
20200312	54.180000	55.130001	51.099998	51.450001	51.450001
20200313	53.980000	56.400002	50.540001	56.180000	56.180000
20200316	49.590000	52.990002	47.020000	47.509998	47.509998
20200317	48.810001	53.259998	47.020000	53.189999	53.189999
20200318	49.889999	52.669998	47.500000	50.740002	50.740002
20200319	50.060001	50.880001	48.009998	48.450001	48.450001
20200320	48.630001	50.029999	47.240002	47.580002	47.580002
20200323	46.770000	47.340000	43.049999	43.360001	43.360001
20200324	45.520000	48.310001	44.849998	48.099998	48.099998
20200325	47.869999	49.660000	45.680000	47.520000	47.520000
20200326	47.889999	51.169998	46.849998	50.810001	50.810001
20200327	49.770000	53.549999	48.919998	51.869999	51.869999
20200330	51.869999	54.700001	50.400002	54.509998	54.509998
20200331	53.599998	54.160000	51.049999	52.169998	52.169998
20200401	49.660000	50.889999	49.220001	50.240002	50.240002
20200402	49.619999	52.090000	49.520000	50.680000	50.680000
20200403	49.980000	50.939999	49.240002	49.480000	49.480000
20200406	51.820000	54.119999	51.299999	53.730000	53.730000
20200407	55.779999	57.389999	53.759998	53.820000	53.820000
20200408	54.369999	55.459999	53.130001	55.220001	55.220001
20200409	56.070000	58.950001	56.070000	58.320000	58.320000
20200413	58.349998	58.349998	56.340000	56.700001	56.700001
20200414	58.250000	59.349998	57.939999	58.700001	58.700001
20200415	57.000000	57.299999	55.270000	55.720001	55.720001
20200416	55.490002	56.180000	53.740002	54.650002	54.650002
20200417	56.439999	57.340000	55.700001	56.990002	56.990002
20200420	55.959999	56.080002	54.500000	55.250000	55.250000
20200421	53.820000	54.619999	53.169998	53.349998	53.349998
20200422	52.720001	54.340000	50.779999	51.279999	51.279999
20200423	51.490002	51.910000	50.150002	50.150002	50.150002
20200424	50.470001	50.740002	49.209999	50.240002	50.240002
20200427	50.340000	53.099998	50.330002	52.900002	52.900002
20200428	54.259998	54.720001	53.369999	54.049999	54.049999
20200429	55.189999	56.930000	54.549999	56.189999	56.189999
20200430	55.040001	55.299999	53.919998	54.000000	54.000000
20200501	52.930000	53.049999	51.150002	51.450001	51.450001
20200504	50.860001	51.480000	50.330002	51.380001	51.380001
20200505	51.869999	53.209999	51.730000	51.750000	51.750000
20200506	51.990002	52.220001	49.959999	49.980000	49.980000
20200507	51.990002	52.220001	50.619999	52.000000	52.000000
