Date	Open	High	Low	Close	Volume
20200203	27.100000	27.309999	26.969999	27.090000	26.814571
20200204	27.379999	27.600000	27.320000	27.459999	27.180809
20200205	27.629999	28.059999	27.540001	27.920000	27.636133
20200206	28.030001	28.250000	27.840000	27.969999	27.685623
20200207	27.889999	28.030001	27.549999	27.650000	27.368877
20200210	27.680000	28.430000	27.580000	28.299999	28.012268
20200211	28.389999	28.450001	28.040001	28.240000	27.952879
20200212	26.340000	26.530001	25.650000	26.129999	25.864330
20200213	26.090000	26.600000	25.879999	26.059999	25.795042
20200214	26.160000	26.410000	26.110001	26.240000	25.973213
20200218	26.400000	26.459999	25.690001	25.790001	25.527790
20200219	25.799999	26.480000	25.570000	26.219999	25.953415
20200220	26.139999	26.510000	26.030001	26.500000	26.230570
20200221	26.340000	26.420000	25.559999	25.770000	25.507992
20200224	25.000000	25.299999	24.840000	25.110001	24.854702
20200225	25.200001	25.250000	24.010000	24.059999	23.815376
20200226	24.150000	24.490000	23.790001	23.809999	23.567919
20200227	23.330000	23.520000	22.670000	22.709999	22.479103
20200228	22.080000	22.660000	21.850000	22.389999	22.162355
20200302	22.530001	23.500000	22.320000	23.490000	23.251173
20200303	23.340000	24.070000	22.650000	23.049999	22.815645
20200304	23.440001	24.040001	23.309999	23.900000	23.657003
20200305	23.330000	23.590000	22.320000	22.379999	22.152458
20200306	21.459999	22.629999	21.420000	22.350000	22.122765
20200309	20.840000	21.540001	20.010000	20.170000	19.964928
20200310	20.830000	21.900000	20.469999	21.900000	21.677338
20200311	21.250000	21.940001	21.160000	21.730000	21.509068
20200312	20.280001	21.639999	20.129999	20.680000	20.469744
20200313	21.670000	22.389999	21.350000	22.129999	21.904999
20200316	20.040001	21.230000	19.070000	20.840000	20.840000
20200317	21.120001	23.180000	20.840000	22.559999	22.559999
20200318	21.309999	22.770000	20.180000	21.549999	21.549999
20200319	21.430000	21.740000	19.760000	20.070000	20.070000
20200320	20.040001	20.209999	18.320000	18.370001	18.370001
20200323	18.379999	19.100000	17.700001	18.549999	18.549999
20200324	19.160000	20.000000	18.420000	19.110001	19.110001
20200325	19.160000	19.820000	18.290001	19.240000	19.240000
20200326	19.190001	20.900000	19.139999	20.760000	20.760000
20200327	20.350000	20.610001	19.540001	19.740000	19.740000
20200330	19.940001	19.940001	18.510000	18.910000	18.910000
20200331	18.770000	19.139999	18.049999	18.129999	18.129999
20200401	17.480000	18.340000	17.389999	17.600000	17.600000
20200402	17.700001	18.760000	17.520000	17.850000	17.850000
20200403	17.690001	17.980000	17.490000	17.719999	17.719999
20200406	18.320000	19.350000	18.010000	19.219999	19.219999
20200407	19.809999	20.290001	19.389999	19.879999	19.879999
20200408	19.940001	20.450001	19.700001	20.260000	20.260000
20200409	20.340000	20.820000	20.080000	20.190001	20.190001
20200413	20.090000	20.330000	19.780001	19.940001	19.940001
20200414	20.400000	20.570000	19.969999	20.160000	20.160000
20200415	19.809999	19.809999	19.100000	19.129999	19.129999
20200416	19.379999	19.440001	18.910000	19.180000	19.180000
20200417	19.600000	19.980000	19.600000	19.930000	19.930000
20200420	19.709999	19.879999	18.950001	19.330000	19.330000
20200421	19.020000	19.070000	18.570000	18.690001	18.690001
20200422	19.070000	19.110001	18.750000	18.889999	18.889999
