Date	Open	High	Low	Close	Volume
20200203	69.650002	69.820000	69.260002	69.449997	69.003075
20200204	69.389999	69.769997	69.019997	69.300003	68.854042
20200205	69.809998	69.809998	68.750000	69.300003	68.854042
20200206	69.129997	69.540001	69.010002	69.300003	68.854042
20200207	69.489998	69.540001	68.699997	68.709999	68.267838
20200210	68.910004	69.120003	68.540001	69.059998	68.615585
20200211	69.059998	69.230003	68.839996	68.959999	68.516228
20200212	68.750000	69.250000	68.550003	69.029999	68.585777
20200213	69.080002	69.889999	68.919998	69.820000	69.370689
20200214	69.989998	70.400002	69.769997	70.260002	69.807861
20200218	70.629997	71.430000	70.570000	71.160004	70.702072
20200219	70.940002	71.239998	70.769997	70.790001	70.334450
20200220	70.739998	70.989998	70.190002	70.669998	70.215225
20200221	70.720001	71.419998	70.440002	70.820000	70.364258
20200224	71.690002	72.139999	70.220001	70.370003	69.917160
20200225	70.480003	70.650002	68.730003	68.839996	68.396996
20200226	69.320000	69.489998	68.320000	68.349998	67.910149
20200227	68.330002	68.669998	64.809998	64.849998	64.432678
20200228	64.080002	64.080002	61.250000	62.320000	61.918957
20200302	62.220001	65.989998	62.150002	65.870003	65.446114
20200303	65.419998	67.459999	65.199997	65.709999	65.287140
20200304	66.529999	69.410004	66.059998	69.199997	68.754677
20200305	67.839996	70.019997	67.449997	69.250000	68.804359
20200306	66.510002	70.160004	66.230003	70.150002	69.698570
20200309	66.360001	69.989998	65.300003	67.989998	67.552467
20200310	68.550003	70.680000	66.099998	68.489998	68.049248
20200311	67.029999	68.230003	65.629997	66.820000	66.389999
20200312	63.060001	66.980003	59.570000	61.290001	61.290001
20200313	63.369999	66.849998	61.000000	66.839996	66.839996
20200316	60.860001	67.000000	57.410000	58.360001	58.360001
20200317	59.740002	67.260002	59.639999	64.930000	64.930000
20200318	61.490002	64.000000	57.669998	61.369999	61.369999
20200319	61.529999	62.480000	57.240002	57.990002	57.990002
20200320	59.000000	59.150002	50.029999	50.630001	50.630001
20200323	50.500000	51.000000	46.580002	50.000000	50.000000
20200324	51.279999	54.310001	50.570000	54.049999	54.049999
20200325	53.340000	57.049999	52.580002	55.549999	55.549999
20200326	55.939999	58.619999	54.939999	57.910000	57.910000
20200327	56.889999	60.599998	55.990002	58.770000	58.770000
20200330	59.919998	63.110001	59.029999	62.560001	62.560001
20200331	61.849998	62.049999	59.810001	60.299999	60.299999
20200401	58.360001	59.090000	56.959999	58.080002	58.080002
20200402	57.330002	61.099998	57.110001	60.419998	60.419998
20200403	59.880001	60.419998	57.290001	57.860001	57.860001
20200406	59.340000	62.200001	58.930000	61.150002	61.150002
20200407	61.110001	62.410000	58.599998	59.230000	59.230000
20200408	59.450001	63.279999	58.880001	62.799999	62.799999
20200409	62.619999	66.639999	62.610001	66.269997	66.269997
20200413	65.570000	66.169998	63.020000	63.660000	63.660000
20200414	64.910004	66.379997	64.720001	66.250000	66.250000
20200415	65.589996	65.959999	63.900002	64.300003	64.300003
20200416	64.019997	65.540001	63.939999	65.250000	65.250000
20200417	66.769997	67.430000	65.400002	67.150002	67.150002
20200420	67.230003	67.440002	64.309998	64.349998	64.349998
20200421	63.310001	64.320000	62.770000	63.410000	63.410000
20200422	64.370003	65.900002	64.080002	65.320000	65.320000
20200423	64.889999	65.430000	63.400002	64.379997	64.379997
20200424	63.310001	64.650002	63.310001	64.570000	64.570000
20200427	64.790001	65.669998	64.769997	65.470001	65.470001
20200428	66.010002	66.870003	65.440002	66.169998	66.169998
20200429	67.080002	67.080002	64.690002	65.080002	65.080002
20200430	65.169998	65.669998	63.240002	63.560001	63.560001
20200501	63.180000	63.180000	61.540001	62.180000	62.180000
20200504	62.400002	62.790001	61.660000	62.389999	62.389999
20200505	62.400002	63.919998	62.400002	63.279999	63.279999
20200506	63.320000	63.900002	60.939999	61.220001	61.220001
20200507	62.880001	63.540001	60.200001	61.020000	61.020000
