Date	Open	High	Low	Close	Volume
20200203	61.380001	61.419998	60.369999	60.730000	59.870472
20200204	61.450001	61.910000	59.889999	59.970001	59.121231
20200205	60.750000	62.930000	60.599998	62.730000	61.842167
20200206	62.930000	63.009998	61.779999	61.880001	61.004200
20200207	61.410000	61.660000	61.060001	61.470001	60.600002
20200210	60.480000	60.520000	59.619999	59.959999	59.959999
20200211	60.580002	60.889999	60.169998	60.529999	60.529999
20200212	61.340000	61.529999	60.560001	61.270000	61.270000
20200213	61.060001	61.419998	60.560001	60.930000	60.930000
20200214	61.150002	61.160000	60.279999	60.650002	60.650002
20200218	60.150002	60.389999	59.450001	59.880001	59.880001
20200219	60.110001	60.619999	59.830002	60.340000	60.340000
20200220	60.230000	60.540001	59.720001	59.860001	59.860001
20200221	59.509998	59.509998	58.790001	59.130001	59.130001
20200224	57.619999	57.799999	56.360001	56.360001	56.360001
20200225	56.750000	56.750000	53.970001	54.200001	54.200001
20200226	54.549999	54.820000	52.930000	53.009998	53.009998
20200227	51.709999	52.439999	49.799999	49.820000	49.820000
20200228	48.770000	51.439999	48.009998	51.439999	51.439999
20200302	52.590000	53.889999	51.130001	53.880001	53.880001
20200303	53.950001	54.150002	50.980000	51.299999	51.299999
20200304	52.230000	52.480000	51.119999	52.419998	52.419998
20200305	50.419998	50.700001	49.040001	50.110001	50.110001
20200306	48.840000	49.009998	47.200001	47.689999	47.689999
20200309	41.709999	44.570000	40.799999	41.860001	41.860001
20200310	46.169998	46.259998	41.450001	43.410000	43.410000
20200311	42.389999	43.480000	41.750000	41.980000	41.980000
20200312	39.900002	40.650002	37.000000	37.180000	37.180000
20200313	40.009998	40.139999	35.000000	38.119999	38.119999
20200316	34.400002	37.880001	33.250000	34.490002	34.490002
20200317	35.209999	37.380001	34.200001	36.810001	36.810001
20200318	34.549999	36.709999	31.230000	33.119999	33.119999
20200319	33.730000	34.900002	32.349998	34.430000	34.430000
20200320	34.840000	35.180000	31.559999	32.740002	32.740002
20200323	32.529999	32.700001	30.110001	31.450001	31.450001
20200324	34.419998	36.169998	33.330002	35.439999	35.439999
20200325	36.509998	38.590000	35.180000	37.290001	37.290001
20200326	37.500000	39.560001	36.720001	38.820000	38.820000
20200327	37.130001	37.680000	36.200001	36.950001	36.950001
20200330	36.230000	38.150002	35.860001	37.500000	37.500000
20200331	38.340000	39.450001	37.369999	37.970001	37.970001
20200401	36.860001	38.700001	36.340000	37.529999	37.529999
20200402	38.740002	41.959999	37.900002	40.400002	40.400002
20200403	41.450001	42.180000	38.520000	39.209999	39.209999
20200406	39.880001	40.830002	39.230000	40.470001	40.470001
20200407	42.900002	43.320000	41.160000	41.240002	41.240002
20200408	41.950001	44.040001	41.470001	43.849998	43.849998
20200409	45.459999	46.709999	41.740002	43.130001	43.130001
20200413	44.450001	44.689999	41.970001	42.759998	42.759998
20200414	43.000000	43.750000	41.910000	42.430000	42.430000
20200415	41.000000	41.060001	39.380001	40.480000	40.480000
20200416	40.480000	40.480000	38.930000	39.150002	39.150002
20200417	39.880001	43.320000	39.869999	43.220001	43.220001
20200420	40.750000	42.740002	40.540001	41.180000	41.180000
20200421	40.400002	42.130001	39.630001	40.959999	40.959999
20200422	42.599998	42.930000	41.985001	42.119999	42.119999
