Date	Open	High	Low	Close	Volume
20200203	56.240002	59.169998	55.500000	55.619999	55.461082
20200204	56.139999	56.810001	55.990002	56.570000	56.408371
20200205	56.970001	57.560001	56.639999	57.220001	57.056515
20200206	56.610001	57.830002	56.610001	57.599998	57.435429
20200207	57.560001	57.689999	57.070000	57.099998	56.936855
20200210	56.860001	57.480000	56.650002	57.450001	57.285858
20200211	57.480000	58.259998	57.060001	58.000000	57.834286
20200212	57.990002	58.220001	57.590000	58.009998	57.844254
20200213	58.040001	58.209999	57.310001	58.110001	57.943974
20200214	57.840000	58.000000	56.380001	57.849998	57.684711
20200218	57.910000	57.990002	57.029999	57.919998	57.754513
20200219	58.250000	58.900002	58.130001	58.590000	58.422600
20200220	58.490002	58.490002	56.919998	57.439999	57.275883
20200221	57.150002	57.410000	56.259998	56.849998	56.687569
20200224	55.779999	55.980000	54.709999	54.720001	54.563660
20200225	54.689999	55.849998	51.430000	51.500000	51.352856
20200226	51.990002	52.500000	50.830002	50.880001	50.734631
20200227	50.459999	51.480000	50.040001	50.200001	50.056572
20200228	49.180000	49.540001	47.330002	49.240002	49.099316
20200302	49.570000	50.599998	48.200001	49.650002	49.508144
20200303	49.130001	50.509998	46.750000	47.209999	47.075111
20200304	47.930000	48.279999	46.970001	47.840000	47.703316
20200305	46.990002	46.990002	44.970001	45.320000	45.190514
20200306	43.900002	45.099998	43.450001	44.730000	44.602200
20200309	42.000000	42.849998	41.869999	42.119999	41.999657
20200310	42.990002	44.369999	42.000000	44.330002	44.203346
20200311	43.060001	44.310001	41.849998	42.560001	42.438400
20200312	40.000000	41.849998	39.209999	39.930000	39.815914
20200313	41.290001	42.250000	38.020000	40.459999	40.344398
20200316	36.279999	37.410000	34.369999	35.180000	35.079487
20200317	35.950001	36.779999	31.700001	34.580002	34.481201
20200318	32.169998	33.529999	31.709999	32.740002	32.646458
20200319	32.410000	35.549999	31.790001	35.110001	35.009686
20200320	35.419998	36.230000	32.299999	32.820000	32.726227
20200323	32.779999	33.450001	31.580000	31.900000	31.808857
20200324	33.439999	34.200001	32.020000	33.810001	33.713402
20200325	33.869999	36.130001	33.270000	35.000000	34.900002
20200326	35.360001	39.669998	34.860001	39.400002	39.400002
20200327	37.580002	40.119999	37.119999	37.930000	37.930000
20200330	37.990002	39.480000	36.669998	39.200001	39.200001
20200331	38.980000	39.980000	38.340000	38.830002	38.830002
20200401	37.029999	39.130001	37.000000	37.310001	37.310001
20200402	37.380001	38.369999	36.759998	37.470001	37.470001
20200403	37.400002	38.009998	35.009998	35.450001	35.450001
20200406	36.880001	37.970001	36.209999	37.730000	37.730000
20200407	38.689999	39.430000	37.950001	38.090000	38.090000
20200408	38.549999	39.730000	37.869999	39.580002	39.580002
20200409	39.820000	42.150002	39.279999	41.869999	41.869999
20200413	41.250000	41.790001	39.720001	40.240002	40.240002
20200414	40.549999	41.889999	40.349998	40.759998	40.759998
20200415	39.520000	40.380001	39.180000	39.950001	39.950001
20200416	39.840000	40.340000	38.930000	39.080002	39.080002
20200417	40.169998	41.480000	39.869999	40.860001	40.860001
20200420	40.259998	41.849998	40.000000	41.279999	41.279999
20200421	40.700001	41.130001	39.619999	39.660000	39.660000
20200422	40.189999	40.490002	39.680000	40.060001	40.060001
