Date	Open	High	Low	Close	Volume
20200203	35.650002	36.980000	35.639999	36.290001	35.828766
20200204	36.950001	37.380001	36.450001	36.570000	36.105206
20200205	36.990002	37.779999	36.860001	37.619999	37.141857
20200206	38.000000	38.200001	37.610001	37.680000	37.201096
20200207	37.470001	37.500000	36.799999	37.169998	36.697578
20200210	37.000000	38.070000	36.869999	37.689999	37.210968
20200211	37.730000	38.250000	37.430000	37.509998	37.033257
20200212	37.790001	38.689999	37.650002	38.189999	37.704613
20200213	37.959999	38.259998	37.580002	38.209999	37.724361
20200214	38.349998	38.410000	37.660000	37.820000	37.339317
20200218	37.419998	37.570000	37.150002	37.220001	36.746944
20200219	37.369999	37.549999	36.770000	36.770000	36.302662
20200220	36.650002	37.139999	36.470001	36.779999	36.312534
20200221	36.529999	36.549999	35.880001	36.340000	35.878128
20200224	35.279999	35.340000	34.139999	34.860001	34.416939
20200225	35.950001	36.580002	35.590000	36.459999	35.996601
20200226	36.820000	37.119999	35.730000	35.730000	35.275879
20200227	34.869999	35.349998	33.700001	33.830002	33.400032
20200228	32.740002	33.360001	31.080000	32.200001	31.790747
20200302	32.349998	33.520000	32.060001	33.509998	33.084095
20200303	33.520000	34.099998	30.940001	31.870001	31.464941
20200304	32.320000	33.750000	31.700001	33.689999	33.261806
20200305	32.419998	32.669998	31.299999	31.660000	31.257610
20200306	30.600000	31.469999	30.410000	31.290001	30.892313
20200309	29.299999	29.740000	27.410000	27.500000	27.150482
20200310	28.540001	29.040001	27.070000	28.700001	28.335232
20200311	27.750000	28.559999	27.080000	27.840000	27.486160
20200312	26.100000	26.610001	23.590000	23.900000	23.596237
20200313	25.639999	25.980000	22.070000	23.959999	23.655474
20200316	17.000000	21.870001	17.000000	19.940001	19.686569
20200317	20.389999	22.190001	18.440001	19.680000	19.429873
20200318	18.170000	18.709999	15.310000	15.980000	15.776898
20200319	15.810000	18.250000	15.010000	17.459999	17.238087
20200320	17.879999	18.520000	16.309999	16.450001	16.240925
20200323	16.330000	17.000000	15.450000	16.110001	15.905247
20200324	17.480000	18.139999	17.010000	17.530001	17.307199
20200325	17.690001	19.650000	15.880000	18.620001	18.383345
20200326	19.059999	20.520000	18.770000	19.670000	19.420000
20200327	19.030001	19.299999	17.510000	17.660000	17.660000
20200330	17.750000	18.080000	16.940001	17.950001	17.950001
20200331	17.780001	19.580000	17.629999	18.940001	18.940001
20200401	17.740000	18.980000	17.299999	17.600000	17.600000
20200402	17.450001	19.170000	16.900000	18.480000	18.480000
20200403	18.209999	18.830000	16.660000	16.900000	16.900000
20200406	18.000000	18.889999	17.850000	18.709999	18.709999
20200407	20.000000	20.760000	18.400000	18.610001	18.610001
20200408	18.959999	19.690001	18.709999	19.260000	19.260000
20200409	19.830000	20.559999	19.100000	19.360001	19.360001
20200413	19.500000	19.500000	17.799999	18.190001	18.190001
20200414	18.690001	19.240000	18.379999	19.000000	19.000000
20200415	18.200001	18.389999	17.049999	17.270000	17.270000
20200416	17.559999	17.590000	16.500000	16.910000	16.910000
20200417	17.330000	18.270000	17.139999	18.120001	18.120001
20200420	17.650000	18.520000	17.150000	17.830000	17.830000
20200421	17.290001	17.760000	16.730000	16.770000	16.770000
20200422	17.090000	17.370001	16.900000	17.090000	17.090000
20200423	17.180000	17.490000	17.090000	17.389999	17.389999
20200424	17.700001	18.230000	17.370001	17.969999	17.969999
20200427	17.780001	18.129999	16.799999	17.820000	17.820000
20200428	17.820000	18.430000	17.100000	17.740000	17.740000
20200429	18.469999	19.549999	18.219999	19.290001	19.290001
20200430	18.930000	18.980000	18.010000	18.290001	18.290001
20200501	17.740000	17.980000	16.690001	17.030001	17.030001
20200504	16.820000	16.930000	16.280001	16.820000	16.820000
20200505	17.200001	17.719999	17.010000	17.030001	17.030001
20200506	17.290001	17.490000	16.570000	16.700001	16.700001
20200507	16.950001	17.620001	16.850000	17.603201	17.603201
